Date,Symbol,Open,High,Low,Close
10/15/2019,BTCUSD,8361,8415,8094.25,8163.5
10/14/2019,BTCUSD,8287,8401.25,8224.25,8361
10/13/2019,BTCUSD,8304.5,8468.75,8164.75,8287
10/12/2019,BTCUSD,8276.75,8417.75,8271.5,8304.5
10/11/2019,BTCUSD,8589.5,8813.75,8239.5,8276.75
10/10/2019,BTCUSD,8602.25,8656.25,8461.25,8589.5
10/9/2019,BTCUSD,8188.5,8698.25,8125,8602.25
10/8/2019,BTCUSD,8215,8345.75,8113.5,8188.5
10/7/2019,BTCUSD,7858.25,8307.75,7772,8215
10/6/2019,BTCUSD,8150.75,8179.5,7795,7858.25
10/5/2019,BTCUSD,8165.25,8198.75,8037,8150.75
10/4/2019,BTCUSD,8240.75,8250.75,8016.25,8165.25
10/3/2019,BTCUSD,8384.25,8414.5,8084,8240.75
10/2/2019,BTCUSD,8326.5,8392.25,8184,8384.25
10/1/2019,BTCUSD,8322.5,8529.5,8200.25,8326.5
9/30/2019,BTCUSD,8057.5,8361.75,7714,8322.5
9/29/2019,BTCUSD,8228.25,8238.25,7908.25,8057.5
9/28/2019,BTCUSD,8192.75,8338.25,8018.25,8228.25
9/27/2019,BTCUSD,8060.5,8274,7865.25,8192.75
9/26/2019,BTCUSD,8440.5,8462.75,7739.25,8060.5
9/25/2019,BTCUSD,8529.5,8744.25,8224,8440.5
9/24/2019,BTCUSD,9683.5,9776.75,8047,8529.5
9/23/2019,BTCUSD,10032,10048,9616.5,9683.5
9/22/2019,BTCUSD,9990,10095,9851.25,10032
9/21/2019,BTCUSD,10171,10172.5,9926.25,9990
9/20/2019,BTCUSD,10275.5,10306.75,10063.75,10171
9/19/2019,BTCUSD,10157.75,10376,9721.5,10275.5
9/18/2019,BTCUSD,10200,10257.5,10086,10157.75
9/17/2019,BTCUSD,10264.5,10275,10136.5,10200
9/16/2019,BTCUSD,10307.25,10374,10073.75,10264.5
9/15/2019,BTCUSD,10365,10384.75,10266,10307.25
9/14/2019,BTCUSD,10367.5,10440,10227.5,10365
9/13/2019,BTCUSD,10430.25,10449.75,10162,10367.5
9/12/2019,BTCUSD,10162,10464.5,10037.75,10430.25
9/11/2019,BTCUSD,10103.25,10274.25,9857.25,10162
9/10/2019,BTCUSD,10313.5,10388.5,9915.25,10103.25
9/9/2019,BTCUSD,10410.75,10539.25,10067,10313.5
9/8/2019,BTCUSD,10485.5,10586.75,10218.75,10410.75
9/7/2019,BTCUSD,10325.75,10571.25,10317.5,10485.5
9/6/2019,BTCUSD,10580.75,10940,10190,10325.75
9/5/2019,BTCUSD,10587,10658,10464.25,10580.75
9/4/2019,BTCUSD,10632,10839,10379.75,10587
9/3/2019,BTCUSD,10388.75,10779,10299.25,10632
9/2/2019,BTCUSD,9767,10480.5,9759,10388.75
9/1/2019,BTCUSD,9603.75,9836,9545.25,9767
8/31/2019,BTCUSD,9574.75,9691,9450,9603.75
8/30/2019,BTCUSD,9498.25,9704.25,9349,9574.75
8/29/2019,BTCUSD,9725.5,9725.5,9325,9498.25
8/28/2019,BTCUSD,10178.5,10295.25,9505.75,9725.5
8/27/2019,BTCUSD,10362.5,10381.5,10025,10178.5
8/26/2019,BTCUSD,10142.5,10664.25,10142.5,10362.5
8/25/2019,BTCUSD,10134.25,10363.5,9892.75,10142.5
8/24/2019,BTCUSD,10407,10433.5,9883.75,10134.25
8/23/2019,BTCUSD,10105,10470.25,10043,10407
8/22/2019,BTCUSD,10125,10238,9743.25,10105
8/21/2019,BTCUSD,10762.75,10803.75,9855.75,10125
8/20/2019,BTCUSD,10922.5,10950.25,10571.25,10762.75
8/19/2019,BTCUSD,10321.75,10930,10277.5,10922.5
8/18/2019,BTCUSD,10214.25,10511.5,10070,10321.75
8/17/2019,BTCUSD,10361,10469.5,9979,10214.25
8/16/2019,BTCUSD,10305,10542.75,9747.25,10361
8/15/2019,BTCUSD,10020,10433,9480.5,10305
8/14/2019,BTCUSD,10868,10868,9894.25,10020
8/13/2019,BTCUSD,11387,11442.25,10744.5,10868
8/12/2019,BTCUSD,11538.25,11546.75,11228.75,11387
8/11/2019,BTCUSD,11283,11576.25,11093,11538.25
8/10/2019,BTCUSD,11853.25,11964.75,11182,11283
8/9/2019,BTCUSD,12006.75,12028.25,11659.75,11853.25
8/8/2019,BTCUSD,11959.25,12060.5,11463.5,12006.75
